"通し
No",区分,分類,"分類別
No",名前,データのURL,"データ
形式",説明,公開ウェブページ,公表組織名,連絡先,更新頻度,対象地域
1,行政,府省,1,政府機関コード(利用機関コード),http://www.stat.go.jp/info/guide/public/code/pdf/code.pdf,pdf,統計用分類　国及び関係機関のコード（独立行政法人、国立大学法人等は大分類コードのみ）,http://www.stat.go.jp/info/guide/public/,総務省,総務省統計局統計情報システム課　最適化推進担当,不定期,
2,行政,府省,2,所管コード（予算書）,http://www.bb.mof.go.jp/server/2014/dlpdf/DL201411001.pdf,pdf,予算書で管理する所管コード（組織）,http://www.mof.go.jp/budget/budger_workflow/budget/index.html,財務省,財務省,1年単位,
3,行政,府省,3,調達機関コード,"※リンク不可
http://www.kantei.go.jp/jp/kanbou/25tyoutatu/dai4/dai4siryo3.pdf",pdf,"政府調達用コード
※外部リンク不可のため、URLをブラウザへ直接入力する必要がある",http://www.kantei.go.jp/jp/kanbou/25tyoutatu/,内閣官房,内閣官房副長官補付,1年単位,
4,行政,府省,4,政府機関コード一覧,https://sites.google.com/site/opendatajp/code-catalog/%E6%94%BF%E5%BA%9C%E6%A9%9F%E9%96%A2%E3%82%B3%E3%83%BC%E3%83%89%E4%B8%80%E8%A6%A7.xlsx?attredirects=0&d=1,xls,「opendata　Code Catalog」へ掲載されている政府機関コードの一覧,https://sites.google.com/site/opendatajp/code-catalog,,,不定期,
5,行政,府省,5,発注機関コード,http://ct.jacic.or.jp/corporation/know/xml/file/c02x01_03.xls,xls,※「府省名＋コード」の検索で発見されたため、詳細不明,,内閣府,内閣府,不定期,
6,行政,自治体,1,全国地方公共団体コード,www.soumu.go.jp/main_content/000285753.xls,xls,情報処理の効率化と円滑化に資するため、コード標準化の一環として、全国の都道府県及び市区町村のコードを設定したもの,http://www.soumu.go.jp/denshijiti/code.html,総務省,総務省地域力創造グループ地域情報政策室,不定期,
7,行政,自治体,2,地域に関するコード整理,www.kantei.go.jp/jp/singi/it2/densi/wg/dai2/siryou2-1t.xls,xls,電子行政オープンデータ実務者会議データWG資料,http://www.kantei.go.jp/jp/singi/it2/densi/wg/dai2/gijisidai.html,,,,
8,行政,自治体,3,政令指定都市番号,http://www.mext.go.jp/component/b_menu/other/__icsFiles/afieldfile/2012/03/30/1318957_1.pdf,pdf,学校基本調査で使用する番号,http://www.mext.go.jp/b_menu/toukei/chousa01/kihon/1267995.htm,文部科学省,文部科学省生涯学習政策局政策課,不定期,
9,行政,自治体,4,行政コード,http://www.gsi.go.jp/KOKUJYOHO/MENCHO/201310/ichiran.xls,xls,全国都道府県市区町村別面積調,http://www.gsi.go.jp/KOKUJYOHO/MENCHO-title.htm,国土交通省,国土交通省国土地理院,不定期,
10,行政,避難所,1,避難施設整理番号（北海道）,http://www.kokuminhogo.go.jp/pdf/hinan_hokkaido.pdf,pdf,都道府県毎に避難施設に番号を付与したもの,http://www.kokuminhogo.go.jp/hinan/index.html,内閣官房,内閣官房副長官補（事態対処・危機管理担当）付,1年単位,北海道
